FB_SPEED,FB_LAP_DIST,FB_BRAKE,MB_LAP_DIST,MB_BRAKE,FS_DIST_FROM_LEFT,FS_SPEED,FS_LAP_DIST,FS_BRAKE,FS_STEERING,MS_DIST_FROM_LEFT,MS_SPEED,MS_LAP_DIST,MS_THROTTLE,MS_BRAKE,MS_STEERING,FT_DIST_FROM_LEFT,FT_SPEED,FT_LAP_DIST,FT_THROTTLE,MT_DIST_FROM_LEFT,MT_SPEED,MT_LAP_DIST,MT_THROTTLE,360_DIST_FROM_LEFT,360_SPEED,360_ANGLE_APEX_1,468_DIST_FROM_LEFT,468_SPEED,468_ANGLE_APEX_2,SECTION_TIME_MS,FB_LAP_DIST_FROM_APEX_1,FS_LAP_DIST_FROM_APEX_1,FT_LAP_DIST_FROM_APEX_1,MS_LAP_DIST_FROM_APEX_1,MS_LAP_DIST_FROM_APEX_2,MB_LAP_DIST_FROM_APEX_1,MT_LAP_DIST_FROM_APEX_1,MT_LAP_DIST_FROM_APEX_2
177,344.8442383,0.117329918,370.5671692,0.403381646,2.581037865,181,329.9214783,0.0,0.07978943,3.244311842,128,404.6509399,0.0,0.329777986,0.515770197,1.345568148,104,425.4614258,0.004715038,0.625617784,105,438.2285767,0.204303041,6.963863612,172,104.3496844,1.583472909,110,88.20852196,17984,348.06994006,333.57893136,348.50097281,369.00622697,409.55811525,373.38544048,338.92705147,441.33702966
238,292.6425781,0.002975509,342.8549805,0.515357077,2.354635942,218,332.9975586,0.154406041,0.078782327,4.828884755,150,404.3579102,0.0,0.057770658,0.411306918,0.548381172,140,426.7568359,0.015228504,4.478180705,192,762.4331055,0.432242304,6.514556505,185,103.2599679,4.595926038,140,108.6408289,14113,297.23777856,336.42880052,349.45530285,370.35488227,408.72028752,345.95765752,45.534359600000016,232.8014776
134,351.6825562,0.305663496,363.1998291,0.355592608,6.610153012,149,114.5450592,0.0,0.099908449,2.710822662,102,411.9355469,0.0,0.0,1.0,5.91381574,84,444.3521729,0.003921569,6.679057948,142,702.5194092,0.450980395,10.36944177,122,113.0660808,3.887962991,71,98.09956382,23008,356.38073115,120.55583810000002,333.7099125,363.37928706,416.34147740000003,367.75083155,102.61079439999997,292.51666969999997
267,265.6708984,0.129411772,331.9907227,1.0,7.343342208,148,340.8256836,1.0,0.083962768,16.05636153,1,387.9331055,0.117647059,0.674509823,0.78719312,16.05635453,0,387.9316406,0.482352942,15.84892139,10,389.2504883,1.0,9.102293527,106,110.522253,4.335736882,145,-104.5779036,16700,271.5978875,345.41023701,386.561573993,386.561201487,393.467936,336.90493233,385.95317824,394.14508969999997
267,173.447876,0.065781645,216.737442,0.540352464,7.305955768,154,344.2825317,0.10666056,0.07768368,6.300508946,12,681.0612793,0.027878232,0.009552148,1.0,4.056907479,179,267.2850952,0.206576645,2.91719134,160,598.0141602,0.888471782,10.6435394,142,113.1413471,0.502850209,161,89.05982701,29317,179.2850203,348.70679201,272.5674823,122.8114478,313.8732544,222.3817879,197.8700622,396.1797996
258,204.5908203,0.242252231,263.4624023,0.591210783,3.383654652,142,291.2026367,0.444632649,0.077225909,17.88463181,116,386.4321289,0.449607044,0.020920118,0.338796049,4.543523626,121,315.3012695,0.135942623,4.151811768,223,641.0869141,0.895902932,9.982364118,116,111.9318785,1.120185802,165,92.31535089,13988,210.2676978,296.08809241,319.94862152999997,385.516831861,393.0821048,268.69043750000003,160.0892537,353.74015399999996
249,229.7854309,0.027450981,734.7015381,1.0,5.709060876,262,76.1781311,0.0,0.078469522,2.796328,115,406.0024719,0.0,0.172549024,1.0,13.43828494,45,450.0661926,0.164705887,4.10125824,107,541.0921021,1.0,20.29531908,155,139.5601865,0.45692212,61,-91.34331988,48864,235.9741981,82.19910629999998,323.55855066,367.79986876,410.93805231,73.63738899999998,243.7486673,450.37452725
172,309.4545898,0.666666687,309.4545898,0.666666687,1.043131488,200,0.591796875,0.0,0.254863828,3.542268392,99,77.88476563,0.705100834,0.0,1.0,1.96306163,0,91.49072266,0.603921592,1.956423651,0,91.48535156,1.0,12.28268244,134,117.8679216,8.01568223,144,-103.9623515,25855,315.65263342000003,6.502900099999977,97.16385869999999,83.83250029999999,115.08865530000003,315.65263342000003,97.15924999999999,126.91442660000001
311,264.1694946,0.267795831,341.0844421,0.69796294,2.410348763,216,330.5578613,0.694987416,0.089768827,12.54023573,141,374.0585938,0.189608604,0.08560311,0.459830642,12.54023573,141,374.0585938,0.189608604,5.819911858,159,412.3525085,1.0,7.025759121,160,104.3261766,0.95388896,202,104.4580831,10825,269.2306567,334.1321363,377.631433637,377.631433637,383.9884072,344.28323269,364.57398176,415.63494812
311,272.1036682,1.0,272.1036682,1.0,2.499526396,196,326.868866,1.0,0.077452369,3.279233857,145,410.9142151,0.419354826,0.0,0.426314116,11.71030899,150,394.1005249,0.019550342,3.445638124,188,499.8617249,1.0,7.555022624,162,105.0964331,2.254709222,177,-87.52135129,11381,277.1993467,330.63653428,381.300004168,364.50607035,415.22341528,277.1993467,280.5702806,490.264014423
